MAC,starttime,endtime,station,strongsignal,weaksignal,times,diff,mobiledevice
c8:3a:35:1f:d0:b0,9.3,15.34,363,-53,-87,1,34,N
18:af:61:2a:89:47,15.29,15.35,6,-50,0,0,0,Y
18:af:61:2a:89:47,15.29,15.35,6,-30,0,0,0,Y
78:45:61:70:11:b8,9,15.35,393,-30,-68,18,38,N
78:45:61:70:11:b8,9,15.35,393,-50,-66,14,16,N
a4:44:d1:de:e1:d5,10.21,15.36,314,-54,-83,4,29,Y
a4:44:d1:de:e1:d5,10.21,15.36,315,-54,0,0,0,Y
c8:f2:30:97:1b:c6,15.21,15.36,15,-53,-91,2,38,Y
e4:5a:a2:23:65:ce,15.22,15.36,14,-54,-93,17,39,Y
e4:5a:a2:23:65:ce,15.22,15.36,14,-52,-92,8,40,Y
e4:5a:a2:23:65:ce,15.22,15.36,14,-53,-90,4,37,Y
c8:f2:30:02:17:00,9,15.36,396,-39,-89,1,50,Y
44:97:5a:a2:f8:54,9,15.36,394,-50,0,0,0,N
44:97:5a:a2:f8:54,9,15.36,394,-43,0,0,0,N
78:45:61:70:11:b8,9,15.36,394,-30,-59,21,29,N
78:45:61:70:11:b8,9,15.36,394,-50,-68,17,18,N
c8:f2:30:54:e9:1d,9.1,15.36,380,-38,-91,2,53,Y
c8:3a:35:22:62:58,9.2,15.36,371,-39,-87,3,48,N
c8:3a:35:22:62:58,9.2,15.36,371,-39,-87,1,48,N
48:5a:b6:d7:d0:3d,9.2,15.36,371,-42,0,0,0,Y
c4:66:99:25:4f:00,13.44,15.37,113,-47,-83,13,36,Y
c8:f2:30:97:1b:c6,15.21,15.37,15,-44,-89,3,45,Y
c8:f2:30:97:1b:c6,15.21,15.37,16,-39,-91,2,52,Y
78:45:61:70:11:b8,9,15.37,396,-36,-81,3,45,N
c8:f2:30:02:17:00,9,15.37,397,-39,0,0,0,Y
78:45:61:70:11:b8,9,15.37,394,-45,-70,22,25,N
78:45:61:70:11:b8,9,15.37,395,-30,-60,20,30,N
78:45:61:70:11:b8,9,15.37,395,-47,-71,19,24,N
78:45:61:70:11:b8,9,15.37,394,-48,-69,18,21,N
78:45:61:70:11:b8,9,15.37,395,-52,-69,17,17,N
c8:f2:30:54:e9:1d,9.1,15.37,381,-47,-95,8,48,Y
c8:3a:35:22:62:58,9.2,15.37,372,-38,-92,4,54,N
c8:3a:35:22:62:58,9.2,15.37,371,-49,-89,2,40,N
c8:3a:35:22:62:58,9.2,15.37,372,-48,-90,1,42,N
c8:3a:35:1f:d0:b0,9.3,15.37,366,-49,-84,1,35,N
6c:59:40:a4:b2:84,9,15.39,399,-51,-72,14,21,N
78:45:61:70:11:b8,9,15.39,399,-39,-85,4,46,N
c8:f2:30:02:17:00,9,15.39,399,-38,-86,2,48,Y
c8:f2:30:02:17:00,9,15.39,399,-47,0,0,0,Y
c8:f2:30:54:e9:1d,9.1,15.39,384,-39,-91,3,52,Y
c8:f2:30:54:e9:1d,9.1,15.39,383,-47,0,0,0,Y
c8:3a:35:22:62:58,9.2,15.39,374,-46,-87,2,41,N
28:fa:a0:a8:26:79,13.25,15.41,135,-40,-89,4,49,Y
e4:5a:a2:a0:5a:fb,15.34,15.41,7,-45,-91,9,46,Y
78:45:61:70:11:b8,9,15.41,399,-48,-70,20,22,N
78:45:61:70:11:b8,9,15.41,399,-45,-69,20,24,N
78:45:61:70:11:b8,9,15.41,399,-48,-69,19,21,N
c8:f2:30:54:e9:1d,9.1,15.41,385,-39,-93,8,54,Y
c8:f2:30:54:e9:1d,9.1,15.41,385,-47,-90,5,43,Y
c8:f2:30:54:e9:1d,9.1,15.41,385,-47,0,0,0,Y
68:17:29:b4:1e:64,12.51,15.42,171,-53,-86,2,33,N
28:fa:a0:a8:26:79,13.25,15.42,136,-29,-92,5,63,Y
28:fa:a0:a8:26:79,13.25,15.42,136,-53,-89,3,36,Y
c4:66:99:4f:87:32,14.5,15.42,51,-47,-83,2,36,Y
78:45:61:70:11:b8,9,15.42,400,-27,-61,27,34,N
78:45:61:70:11:b8,9,15.42,400,-29,-58,26,29,N
78:45:61:70:11:b8,9,15.42,400,-29,-50,19,21,N
78:45:61:70:11:b8,9,15.42,399,-48,-68,16,20,N
78:45:61:70:11:b8,9,15.42,399,-51,-68,16,17,N
78:45:61:70:11:b8,9,15.42,400,-50,-68,16,18,N
78:45:61:70:11:b8,9,15.42,400,-54,-69,15,15,N
78:45:61:70:11:b8,9,15.42,400,-47,-68,15,21,N
78:45:61:70:11:b8,9,15.42,399,-52,-67,15,15,N
78:45:61:70:11:b8,9,15.42,400,-31,-49,14,18,N
c8:f2:30:54:e9:1d,9.1,15.42,387,-38,-88,2,50,Y
30:9b:ad:aa:f1:a5,14.31,15.43,72,-28,0,0,0,Y
6c:59:40:a4:b2:84,9,15.44,403,-47,-82,9,35,N
c8:f2:30:02:17:00,9,15.44,404,-48,-87,1,39,Y
c8:f2:30:02:17:00,9,15.44,404,-38,-82,1,44,Y
44:39:c4:b6:df:e2,9,15.44,402,-36,-84,23,48,N
78:45:61:70:11:b8,9,15.44,402,-30,-52,22,22,N
78:45:61:70:11:b8,9,15.44,402,-31,-61,20,30,N
6c:59:40:8e:7f:7a,9,15.44,399,-40,-56,2,16,N
c4:66:99:25:4f:00,13.44,15.45,120,-46,-74,12,28,Y
c4:66:99:4f:87:32,14.5,15.45,54,-44,-79,2,35,Y
c4:66:99:4f:87:32,14.5,15.45,54,-43,-81,1,38,Y
c4:a8:1d:5a:9e:8b,15.16,15.45,28,-48,0,0,0,N
78:45:61:70:11:b8,9,15.45,402,-50,-70,20,20,N
78:45:61:70:11:b8,9,15.45,403,-41,-69,20,28,N
78:45:61:70:11:b8,9,15.45,402,-49,-72,18,23,N
78:45:61:70:11:b8,9,15.45,403,-32,-51,18,19,N
78:45:61:70:11:b8,9,15.45,402,-52,-69,16,17,N
78:45:61:70:11:b8,9,15.45,402,-51,-69,16,18,N
78:45:61:70:11:b8,9,15.45,403,-49,-67,16,18,N
c8:3a:35:60:e6:50,10.14,15.46,332,-38,-87,8,49,N
78:45:61:70:11:b8,9,15.46,406,-37,-84,5,47,N
44:39:c4:b6:df:e2,9,15.46,405,-35,-82,21,47,N
c8:3a:35:25:f5:40,9.5,15.46,348,-36,0,0,0,N
54:14:73:68:00:92,10.52,15.47,295,-52,0,0,0,Y
c4:66:99:4f:87:32,14.5,15.47,57,-53,0,0,0,Y
28:fa:a0:ae:de:7b,15.41,15.47,6,-52,-84,2,32,Y
28:fa:a0:ae:de:7b,15.41,15.47,6,-32,-80,1,48,Y
28:fa:a0:ae:de:7b,15.41,15.47,6,-33,0,0,0,Y
44:39:c4:b6:df:e2,9,15.47,406,-33,-82,26,49,N
78:45:61:70:11:b8,9,15.47,405,-33,-66,17,33,N
78:45:61:70:11:b8,9,15.47,405,-31,-51,17,20,N
78:45:61:70:11:b8,9,15.47,405,-48,-68,15,20,N
54:14:73:68:00:92,10.52,15.48,295,-47,-87,6,40,Y
70:14:a6:26:bb:50,11.43,15.48,244,-51,-63,6,12,Y
24:e3:14:ee:6a:89,13.3,15.48,137,-42,-82,2,40,Y
c4:66:99:25:4f:00,13.44,15.48,123,-47,-78,18,31,Y
c4:66:99:4f:87:32,14.5,15.48,57,-47,-79,5,32,Y
28:fa:a0:ae:de:7b,15.41,15.48,6,-50,-78,1,28,Y
6c:59:40:a4:b2:84,9,15.48,407,-45,-85,7,40,N
44:39:c4:b6:df:e2,9,15.48,407,-35,-80,18,45,N
78:45:61:70:11:b8,9,15.48,406,-48,-71,19,23,N
78:45:61:70:11:b8,9,15.48,405,-41,-69,17,28,N
78:45:61:70:11:b8,9,15.48,406,-33,-52,17,19,N
78:45:61:70:11:b8,9,15.48,405,-50,-69,16,19,N
78:45:61:70:11:b8,9,15.48,406,-54,-66,12,12,N
c8:3a:35:22:62:58,9.2,15.48,383,-49,-91,2,42,N
48:5a:b6:d7:d0:3d,9.2,15.48,383,-43,-89,1,46,Y
c8:3a:35:22:62:58,9.2,15.48,383,-39,0,0,0,N
70:14:a6:26:bb:50,11.43,15.49,246,-52,-89,7,37,Y
c8:f2:30:97:1b:c6,15.21,15.49,28,-41,0,0,0,Y
78:45:61:70:11:b8,9,15.49,407,-38,-70,18,32,N
78:45:61:70:11:b8,9,15.49,407,-32,-50,17,18,N
78:45:61:70:11:b8,9,15.49,407,-50,-67,15,17,N
c4:66:99:25:4f:00,13.44,15.5,126,-45,-68,10,23,Y
7c:dd:90:79:ab:84,14.23,15.5,86,-52,-80,2,28,N
28:fa:a0:ae:de:7b,15.41,15.5,9,-52,0,0,0,Y
44:39:c4:b6:df:e2,9,15.5,408,-35,-70,12,35,N
78:45:61:70:11:b8,9,15.5,408,-52,-67,15,15,N
28:fa:a0:ae:de:7b,15.41,15.51,9,-49,-80,2,31,Y
28:fa:a0:ae:de:7b,15.41,15.51,9,-46,-87,1,41,Y
28:fa:a0:ae:de:7b,15.41,15.51,9,-31,0,0,0,Y
c8:6f:1d:3d:a1:27,15.43,15.51,7,-38,-75,2,37,Y
c8:6f:1d:3d:a1:27,15.43,15.51,7,-49,-88,1,39,Y
c8:6f:1d:3d:a1:27,15.43,15.51,7,-39,0,0,0,Y
6c:59:40:a4:b2:84,9,15.51,410,-52,-72,18,20,N
78:45:61:70:11:b8,9,15.51,410,-38,-85,3,47,N
44:39:c4:b6:df:e2,9,15.51,409,-51,-81,21,30,N
78:45:61:70:11:b8,9,15.51,409,-45,-81,21,36,N
78:45:61:70:11:b8,9,15.51,409,-31,-50,18,19,N
78:45:61:70:11:b8,9,15.51,409,-32,-50,16,18,N
78:45:61:70:11:b8,9,15.51,409,-42,-69,14,27,N
78:45:61:70:11:b8,9,15.51,409,-49,-66,13,17,N
70:14:a6:26:bb:50,11.43,15.52,249,-54,-60,5,6,Y
68:17:29:b4:1e:64,12.51,15.52,181,-53,-85,1,32,N
6c:59:40:a4:b2:84,9,15.52,411,-47,-72,22,25,N
44:97:5a:a2:f8:54,9,15.52,410,-52,-82,1,30,N
78:45:61:70:11:b8,9,15.52,410,-52,-70,15,18,N
78:45:61:70:11:b8,9,15.52,410,-32,-49,14,17,N
78:45:61:70:11:b8,9,15.52,410,-54,-67,12,13,N
74:e5:0b:4c:dd:20,10.29,15.53,323,-52,0,0,0,N
00:1a:95:99:3f:4b,15.32,15.53,20,-49,-85,8,36,Y
44:39:c4:b6:df:e2,9,15.53,411,-35,-82,20,47,N
6c:59:40:8e:7f:7a,9,15.53,408,-37,-83,4,46,N
c8:f2:30:54:e9:1d,9.1,15.53,397,-39,-90,6,51,Y
c8:f2:30:54:e9:1d,9.1,15.53,397,-49,-92,1,43,Y
a8:1b:5a:1b:51:e8,10.23,15.55,331,-43,-91,2,48,Y
68:17:29:b4:1e:64,12.51,15.55,184,-53,-87,3,34,N
c4:66:99:25:4f:00,13.44,15.55,131,-45,-76,14,31,Y
00:21:63:4d:af:87,14.56,15.55,58,-48,-94,7,46,N
c8:6f:1d:3d:a1:27,15.43,15.55,11,-48,-77,2,29,Y
6c:59:40:a4:b2:84,9,15.55,414,-44,-70,16,26,N
78:45:61:70:11:b8,9,15.55,414,-37,-64,4,27,N
44:97:5a:a2:f8:54,9,15.55,413,-47,0,0,0,N
78:45:61:70:11:b8,9,15.55,413,-31,-60,29,29,N
78:45:61:70:11:b8,9,15.55,413,-31,-86,24,55,N
78:45:61:70:11:b8,9,15.55,413,-49,-70,20,21,N
78:45:61:70:11:b8,9,15.55,412,-51,-70,18,19,N
78:45:61:70:11:b8,9,15.55,412,-50,-72,17,22,N
78:45:61:70:11:b8,9,15.55,412,-48,-69,17,21,N
78:45:61:70:11:b8,9,15.55,413,-32,-67,17,35,N
78:45:61:70:11:b8,9,15.55,412,-53,-68,14,15,N
78:45:61:70:11:b8,9,15.55,413,-53,-66,13,13,N
c8:f2:30:54:e9:1d,9.1,15.55,399,-39,-90,6,51,Y
c8:f2:30:54:e9:1d,9.1,15.55,399,-47,-90,3,43,Y
c8:f2:30:54:e9:1d,9.1,15.55,399,-38,0,0,0,Y
2c:28:2d:97:be:68,9.4,15.55,366,-45,-87,1,42,Y
c8:f2:30:54:e9:1d,9.1,15.56,400,-38,-92,5,54,Y
3c:a3:48:6d:7e:90,11.44,15.58,253,-53,-80,1,27,Y
80:41:4e:c8:0f:33,14.22,15.58,95,-50,-88,2,38,Y
18:dc:56:c0:2e:b0,15.05,15.58,52,-47,-90,4,43,Y
18:dc:56:c0:2e:b0,15.05,15.58,52,-48,-92,1,44,Y
00:1c:a3:04:36:26,15.44,15.58,14,-52,-83,5,31,N
5c:97:f3:6c:07:c7,15.51,15.58,7,-53,-80,2,27,Y
6c:59:40:a4:b2:84,9,15.58,417,-51,-78,16,27,N
44:39:c4:b6:df:e2,9,15.58,416,-35,-84,24,49,N
44:97:5a:a2:f8:54,9,15.58,416,-54,0,0,0,N
78:45:61:70:11:b8,9,15.58,415,-31,-68,31,37,N
78:45:61:70:11:b8,9,15.58,416,-32,-62,23,30,N
78:45:61:70:11:b8,9,15.58,416,-48,-70,20,22,N
78:45:61:70:11:b8,9,15.58,416,-49,-69,16,20,N
78:45:61:70:11:b8,9,15.58,415,-53,-67,14,14,N
78:45:61:70:11:b8,9,15.58,415,-53,-67,13,14,N
2c:5b:b8:8f:42:26,9,15.58,415,-52,-88,1,36,Y
c8:f2:30:54:e9:1d,9.1,15.58,402,-39,-90,6,51,Y
c8:f2:30:54:e9:1d,9.1,15.58,402,-46,-89,1,43,Y
c8:3a:35:4b:93:18,9.2,15.58,391,-48,0,0,0,N
78:45:61:70:11:b8,9,15.59,417,-51,-67,16,16,N
70:14:a6:26:bb:50,11.43,16.01,258,-54,-88,4,34,Y
18:dc:56:c0:2e:b0,15.05,16.01,55,-45,-89,1,44,Y
a4:44:d1:3f:47:2f,15.48,16.01,12,-54,-87,2,33,Y
78:45:61:70:11:b8,9,16.01,419,-32,-64,28,32,N
78:45:61:70:11:b8,9,16.01,419,-48,-84,22,36,N
78:45:61:70:11:b8,9,16.01,419,-31,-52,18,21,N
78:45:61:70:11:b8,9,16.01,419,-47,-69,16,22,N
78:45:61:70:11:b8,9,16.01,419,-50,-68,15,18,N
78:45:61:70:11:b8,9,16.01,419,-32,-49,15,17,N
78:45:61:70:11:b8,9,16.01,419,-53,-67,13,14,N
78:45:61:70:11:b8,9,16.01,419,-53,-66,11,13,N
3c:a3:48:6d:7e:90,11.44,16.02,258,-54,-86,7,32,Y
a4:44:d1:de:e1:d5,13.39,16.02,143,-53,-87,1,34,Y
6c:59:40:a4:b2:84,9,16.02,421,-41,-85,13,44,N
78:45:61:70:11:b8,9,16.02,421,-38,-79,3,41,N
c8:f2:30:02:17:00,9,16.02,421,-47,0,0,0,Y
c8:3a:35:22:62:58,9.2,16.02,397,-48,-88,1,40,N
dc:6d:cd:1c:1f:9c,15.41,16.03,21,-48,0,0,0,Y
00:16:78:5b:3f:60,15.44,16.03,19,-52,-83,4,31,N
00:1c:a3:04:36:26,15.44,16.03,19,-52,-78,1,26,N
6c:59:40:a4:b2:84,9,16.03,422,-49,-79,11,30,N
c8:f2:30:02:17:00,9,16.03,423,-39,-86,2,47,Y
44:39:c4:b6:df:e2,9,16.03,422,-35,-79,24,44,N
44:39:c4:b6:df:e2,9,16.03,422,-51,-84,19,33,N
44:39:c4:b6:df:e2,9,16.03,422,-34,-86,14,52,N
44:39:c4:b6:df:e2,9,16.03,422,-34,-84,8,50,N
44:97:5a:a2:f8:54,9,16.03,421,-40,0,0,0,N
78:45:61:70:11:b8,9,16.03,421,-31,-48,16,17,N
78:45:61:70:11:b8,9,16.03,421,-48,-69,15,21,N
78:45:61:70:11:b8,9,16.03,421,-32,-67,15,35,N
78:45:61:70:11:b8,9,16.03,421,-53,-67,12,14,N
6c:59:40:8e:7f:7a,9,16.03,418,-41,-80,2,39,N
c8:3a:35:22:62:58,9.2,16.03,398,-39,-88,3,49,N
c8:3a:35:22:62:58,9.2,16.03,398,-39,-89,2,50,N
c8:3a:35:22:62:58,9.2,16.03,398,-48,-85,2,37,N
68:17:29:b4:1e:64,12.51,16.04,193,-53,-84,1,31,N
a4:44:d1:de:e1:d5,13.39,16.04,145,-53,-89,1,36,Y
78:45:61:70:11:b8,9,16.04,423,-38,-57,3,19,N
78:45:61:70:11:b8,9,16.04,422,-47,-69,16,22,N
78:45:61:70:11:b8,9,16.04,422,-32,-49,16,17,N
78:45:61:70:11:b8,9,16.04,422,-53,-74,15,21,N
78:45:61:70:11:b8,9,16.04,421,-52,-69,12,17,N
c8:f2:30:54:e9:1d,9.1,16.04,408,-48,0,0,0,Y
c8:3a:35:22:62:58,9.2,16.04,399,-39,-89,2,50,N
44:39:c4:b6:df:e2,9,16.05,423,-37,-81,9,44,N
78:45:61:70:11:b8,9,16.05,423,-31,-49,17,18,N
78:45:61:70:11:b8,9,16.05,423,-49,-69,16,20,N
78:45:61:70:11:b8,9,16.05,423,-51,-66,12,15,N
c8:3a:35:22:62:58,9.2,16.05,400,-38,-89,3,51,N
c8:3a:35:4b:93:18,9.2,16.05,398,-47,0,0,0,N
2c:5b:b8:c4:ce:33,11,16.07,306,-47,-87,1,40,Y
c8:f2:30:99:82:01,11.36,16.07,271,-48,-83,4,35,Y
c8:f2:30:99:82:01,11.36,16.07,271,-38,-87,3,49,Y
68:17:29:b4:1e:64,12.51,16.07,196,-53,-86,2,33,N
a4:44:d1:de:e1:d5,13.39,16.07,148,-52,0,0,0,Y
c8:f2:30:97:1b:c6,15.21,16.07,46,-42,-85,2,43,Y
00:16:78:5b:3f:60,15.44,16.07,23,-49,-81,3,32,N
00:1c:a3:04:36:26,15.44,16.07,23,-50,-83,2,33,N
00:16:78:5b:3f:60,15.44,16.07,23,-52,0,0,0,N
44:39:c4:b6:df:e2,9,16.07,426,-35,-81,13,46,N
44:39:c4:b6:df:e2,9,16.07,426,-34,-75,13,41,N
78:45:61:70:11:b8,9,16.07,425,-49,-69,16,20,N
78:45:61:70:11:b8,9,16.07,425,-48,-69,16,21,N
78:45:61:70:11:b8,9,16.07,425,-32,-57,16,25,N
78:45:61:70:11:b8,9,16.07,425,-32,-49,15,17,N
78:45:61:70:11:b8,9,16.07,425,-50,-67,13,17,N
78:45:61:70:11:b8,9,16.07,425,-53,-66,12,13,N
c8:3a:35:4b:93:18,9.2,16.07,400,-39,0,0,0,N
44:39:c4:b6:df:e2,9,16.08,427,-36,-61,9,25,N
c8:3a:35:22:62:58,9.2,16.08,403,-38,-87,3,49,N
c8:3a:35:22:62:58,9.2,16.08,403,-48,-88,1,40,N
48:5a:b6:d7:d0:3d,9.2,16.08,403,-46,0,0,0,Y
2c:5b:b8:c4:ce:33,11,16.09,308,-41,-87,3,46,Y
c4:66:99:25:4f:00,13.44,16.09,145,-38,-75,13,37,Y
c8:f2:30:97:1b:c6,15.21,16.09,48,-53,-81,7,28,Y
c8:f2:30:97:1b:c6,15.21,16.09,48,-42,-85,4,43,Y
78:45:61:70:11:b8,9,16.09,427,-46,-81,16,35,N
78:45:61:70:11:b8,9,16.09,427,-32,-48,14,16,N
78:45:61:70:11:b8,9,16.09,427,-52,-69,12,17,N
78:45:61:70:11:b8,9,16.09,427,-53,-67,12,14,N
78:45:61:70:11:b8,9,16.09,427,-53,-66,10,13,N
1c:60:de:93:be:30,15.1,16.1,60,-32,0,0,0,N
2c:be:08:5c:81:af,15.24,16.1,46,-26,-85,1,59,Y
2c:be:08:5c:81:af,15.24,16.1,46,-52,0,0,0,Y
2c:be:08:5c:81:af,15.24,16.1,46,-46,0,0,0,Y
c8:3a:35:59:1d:18,15.26,16.1,44,-38,-70,1,32,N
c8:3a:35:59:1d:18,15.26,16.1,44,-48,-69,1,21,N
dc:6d:cd:73:86:20,16.03,16.1,7,-51,-86,1,35,Y
78:45:61:70:11:b8,9,16.1,430,-38,-71,4,33,N
44:39:c4:b6:df:e2,9,16.1,429,-36,-70,5,34,N
78:45:61:70:11:b8,9,16.1,427,-30,-89,20,59,N
c8:3a:35:22:62:58,9.2,16.1,405,-48,-93,5,45,N
48:5a:b6:d7:d0:3d,9.2,16.1,405,-47,-88,4,41,Y
c8:3a:35:22:62:58,9.2,16.1,405,-39,-88,2,49,N
a4:44:d1:de:e1:d5,13.39,16.11,152,-51,-89,2,38,Y
a4:44:d1:de:e1:d5,13.39,16.11,152,-53,-87,1,34,Y
44:39:c4:b6:df:e2,9,16.11,429,-37,-85,18,48,N
c8:3a:35:22:62:58,9.2,16.11,406,-39,0,0,0,N
68:17:29:b4:1e:64,12.51,16.12,201,-54,-85,2,31,N
68:17:29:b4:1e:64,12.51,16.12,201,-53,-86,1,33,N
68:17:29:b4:1e:64,12.51,16.12,201,-54,0,0,0,N
c4:66:99:25:4f:00,13.44,16.12,148,-42,0,0,0,Y
e4:5a:a2:96:15:e2,14.2,16.12,112,-53,-90,4,37,Y
c8:f2:30:97:1b:c6,15.21,16.12,51,-53,-81,10,28,Y
c8:f2:30:97:1b:c6,15.21,16.12,51,-45,-86,3,41,Y
c8:f2:30:97:1b:c6,15.21,16.12,51,-41,-90,2,49,Y
78:45:61:70:11:b8,9,16.12,430,-48,-69,19,21,N
78:45:61:70:11:b8,9,16.12,430,-31,-48,16,17,N
78:45:61:70:11:b8,9,16.12,430,-31,-48,16,17,N
78:45:61:70:11:b8,9,16.12,430,-49,-69,14,20,N
78:45:61:70:11:b8,9,16.12,430,-54,-67,11,13,N
78:45:61:70:11:b8,9,16.12,430,-52,-66,11,14,N
78:45:61:70:11:b8,9,16.12,430,-53,-66,11,13,N
c8:3a:35:22:62:58,9.2,16.12,407,-38,-87,1,49,N
c8:3a:35:22:62:58,9.2,16.12,407,-48,0,0,0,N
48:5a:b6:d7:d0:3d,9.2,16.12,407,-47,0,0,0,Y
c8:f2:30:97:1b:c6,15.21,16.13,51,-41,-88,3,47,Y
00:16:78:5b:3f:60,15.44,16.13,29,-52,-81,3,29,N
44:39:c4:b6:df:e2,9,16.13,431,-36,-84,13,48,N
78:45:61:70:11:b8,9,16.13,430,-48,-69,15,21,N
c8:3a:35:22:62:58,9.2,16.13,408,-47,0,0,0,N
1c:60:de:9e:31:1a,11.5,16.14,263,-54,-88,1,34,N
78:45:61:70:11:b8,9,16.14,432,-30,-48,18,18,N
78:45:61:70:11:b8,9,16.14,432,-30,-88,17,58,N
78:45:61:70:11:b8,9,16.14,432,-52,-69,13,17,N
78:45:61:70:11:b8,9,16.14,432,-53,-67,12,14,N
a4:44:d1:3f:47:2f,15.48,16.15,26,-53,-79,2,26,Y
78:45:61:70:11:b8,9,16.15,433,-46,-69,18,23,N
78:45:61:70:11:b8,9,16.15,433,-47,-83,17,36,N
78:45:61:70:11:b8,9,16.15,433,-32,-49,15,17,N
78:45:61:70:11:b8,9,16.15,432,-53,-67,14,14,N
78:45:61:70:11:b8,9,16.15,433,-52,-67,12,15,N
c8:f2:30:87:92:dd,16.07,16.16,9,-47,-79,11,32,Y
78:45:61:70:11:b8,9,16.16,436,-38,-82,4,44,N
44:39:c4:b6:df:e2,9,16.16,435,-35,-66,6,31,N
78:45:61:70:11:b8,9,16.16,434,-32,-81,16,49,N
c8:f2:30:54:e9:1d,9.1,16.16,421,-47,-92,8,45,Y
c8:f2:30:54:e9:1d,9.1,16.16,421,-47,-90,2,43,Y
c8:f2:30:54:e9:1d,9.1,16.16,421,-47,-90,1,43,Y
c8:f2:30:54:e9:1d,9.1,16.16,421,-39,0,0,0,Y
48:5a:b6:d7:d0:3d,9.2,16.16,411,-47,-89,2,42,Y
c8:3a:35:22:62:58,9.2,16.16,411,-39,-86,1,47,N
a4:44:d1:de:e1:d5,10.21,16.17,355,-53,-86,3,33,Y
18:dc:56:c0:2e:b0,15.05,16.17,71,-48,-89,1,41,Y
c8:f2:30:97:1b:c6,15.21,16.17,56,-53,-75,2,22,Y
fc:1a:11:06:8b:d4,16.04,16.17,12,-51,-61,9,10,Y
44:39:c4:b6:df:e2,9,16.17,435,-35,-59,7,24,N
78:45:61:70:11:b8,9,16.17,435,-48,-91,18,43,N
78:45:61:70:11:b8,9,16.17,435,-32,-79,16,47,N
78:45:61:70:11:b8,9,16.17,434,-54,-68,12,14,N
48:5a:b6:d7:d0:3d,9.2,16.17,411,-48,-91,2,43,Y
c8:3a:35:1f:d0:b0,9.3,16.17,405,-39,-58,1,19,N
c8:3a:35:48:e6:20,10.34,16.18,343,-39,0,0,0,N
c8:f2:30:97:1b:c6,15.21,16.18,56,-42,-79,7,37,Y
dc:6d:cd:73:86:20,16.03,16.18,15,-48,-87,1,39,Y
fc:1a:11:06:8b:d4,16.04,16.18,13,-52,-86,12,34,Y
44:39:c4:b6:df:e2,9,16.18,437,-36,-77,7,41,N
78:45:61:70:11:b8,9,16.18,435,-44,-89,17,45,N
78:45:61:70:11:b8,9,16.18,436,-52,-86,13,34,N
c8:f2:30:54:e9:1d,9.1,16.18,422,-48,0,0,0,Y
a4:44:d1:de:e1:d5,10.21,16.19,358,-54,0,0,0,Y
c8:f2:30:97:1b:c6,15.21,16.19,58,-53,-74,2,21,Y
00:16:78:5b:3f:60,15.44,16.19,35,-51,-83,1,32,N
c8:f2:30:33:16:7d,16.12,16.19,7,-53,0,0,0,Y
78:45:61:70:11:b8,9,16.19,438,-37,-65,3,28,N
44:39:c4:b6:df:e2,9,16.19,437,-51,-83,17,32,N
78:45:61:70:11:b8,9,16.19,437,-49,-69,18,20,N
78:45:61:70:11:b8,9,16.19,437,-31,-85,17,54,N
78:45:61:70:11:b8,9,16.19,437,-31,-64,17,33,N
78:45:61:70:11:b8,9,16.19,437,-52,-74,14,22,N
c8:f2:30:54:e9:1d,9.1,16.19,424,-46,-87,1,41,Y
c8:3a:35:22:62:58,9.2,16.19,414,-38,-89,2,51,N
c8:3a:35:22:62:58,9.2,16.19,414,-47,-86,1,39,N
78:45:61:70:11:b8,9,16.2,438,-39,-71,16,32,N
78:45:61:70:11:b8,9,16.2,438,-52,-72,14,20,N
18:dc:56:c0:2e:b0,15.05,16.21,75,-52,0,0,0,Y
00:1a:95:99:3f:4b,15.32,16.21,49,-50,-85,8,35,Y
c8:f2:30:87:92:dd,16.07,16.21,14,-41,-70,11,29,Y
c8:f2:30:87:92:dd,16.07,16.21,14,-45,-60,7,15,Y
c8:f2:30:02:17:00,9,16.21,441,-48,-84,2,36,Y
c8:f2:30:02:17:00,9,16.21,441,-39,-86,1,47,Y
78:45:61:70:11:b8,9,16.21,438,-31,-83,18,52,N
78:45:61:70:11:b8,9,16.21,439,-49,-85,17,36,N
78:45:61:70:11:b8,9,16.21,439,-31,-48,16,17,N
78:45:61:70:11:b8,9,16.21,439,-53,-79,11,26,N
6c:59:40:8e:7f:7a,9,16.21,437,-38,0,0,0,N
48:5a:b6:d7:d0:3d,9.2,16.21,416,-44,-85,1,41,Y
c8:3a:35:22:62:58,9.2,16.21,416,-38,0,0,0,N
1c:60:de:9e:31:1a,11.09,16.22,312,-50,0,0,0,N
68:17:29:b4:1e:64,12.51,16.22,211,-54,0,0,0,N
c8:f2:30:87:92:dd,16.07,16.22,15,-44,-80,31,36,Y
c8:f2:30:87:92:dd,16.07,16.22,15,-38,-88,30,50,Y
6c:59:40:a4:b2:84,9,16.22,442,-51,-71,10,20,N
44:39:c4:b6:df:e2,9,16.22,441,-35,-65,10,30,N
78:45:61:70:11:b8,9,16.22,440,-45,-70,22,25,N
78:45:61:70:11:b8,9,16.22,440,-52,-67,15,15,N
c8:3a:35:22:62:58,9.2,16.22,417,-39,-87,2,48,N
c8:3a:35:22:62:58,9.2,16.22,417,-48,-89,1,41,N
68:17:29:b4:1e:64,12.51,16.23,212,-54,-85,2,31,N
c8:f2:30:87:92:dd,16.07,16.23,16,-39,-69,24,30,Y
