MAC,starttime,endtime,station,strongsignal,weaksignal,times,diff,mobiledevice
6c:59:40:92:3c:44,9,10.09,65,-37,-87,5,50,N
6c:59:40:8e:7f:7a,9,10.09,65,-36,-83,2,47,N
2c:5b:b8:dd:67:69,9.5,10.09,16,-51,-84,5,33,Y
2c:5b:b8:dd:67:69,9.5,10.09,17,-31,-91,4,60,Y
2c:5b:b8:dd:67:69,9.5,10.09,17,-51,0,0,0,Y
78:45:61:70:11:b8,9,10.1,68,-31,-49,18,18,N
44:39:c4:b6:df:e2,9,10.1,66,-50,-80,16,30,N
6c:59:40:92:3c:44,9,10.1,66,-34,-71,1,37,N
6c:59:40:8e:7f:7a,9,10.1,66,-32,0,0,0,N
1c:60:de:09:30:e0,10.05,10.11,5,-47,0,0,0,N
6c:59:40:a4:b2:84,9,10.11,70,-43,-84,7,41,N
78:45:61:70:11:b8,9,10.11,70,-36,-74,4,38,N
44:39:c4:b6:df:e2,9,10.11,69,-39,-80,14,41,N
44:39:c4:b6:df:e2,9,10.11,70,-38,-82,11,44,N
90:c3:5f:77:28:5d,9,10.11,68,-48,-91,8,43,N
c8:f2:30:54:e9:1d,9.1,10.11,55,-37,0,0,0,Y
48:5a:b6:d7:d0:3d,9.2,10.11,46,-41,-84,3,43,Y
48:5a:b6:d7:d0:3d,9.2,10.11,46,-43,-86,2,43,Y
c8:3a:35:22:62:58,9.2,10.11,46,-53,-85,1,32,N
c8:3a:35:22:62:58,9.2,10.11,46,-53,0,0,0,N
c8:dd:c9:59:ea:91,9.3,10.11,40,-39,-90,1,51,Y
44:39:c4:bb:7f:68,10.05,10.12,6,-43,-76,31,33,N
44:39:c4:bb:7f:68,10.05,10.12,6,-43,-78,28,35,N
44:39:c4:bb:7f:68,10.05,10.12,6,-51,-80,26,29,N
44:39:c4:bb:7f:68,10.05,10.12,6,-50,-74,24,24,N
44:39:c4:bb:7f:68,10.05,10.12,6,-53,-76,20,23,N
44:39:c4:bb:7f:68,10.05,10.12,6,-28,-45,16,17,N
44:39:c4:bb:7f:68,10.05,10.12,6,-28,-44,16,16,N
00:16:78:2a:20:44,10.06,10.12,6,-48,-92,12,44,N
c8:f2:30:53:d2:97,10.06,10.12,6,-47,0,0,0,Y
78:45:61:70:11:b8,9,10.12,70,-29,-58,29,29,N
78:45:61:70:11:b8,9,10.12,70,-43,-69,23,26,N
78:45:61:70:11:b8,9,10.12,70,-30,-54,22,24,N
78:45:61:70:11:b8,9,10.12,70,-44,-70,21,26,N
78:45:61:70:11:b8,9,10.12,70,-48,-66,17,18,N
78:45:61:70:11:b8,9,10.12,70,-50,-67,16,17,N
78:45:61:70:11:b8,9,10.12,70,-50,-66,15,16,N
44:39:c4:b6:df:e2,9,10.12,68,-36,-84,17,48,N
44:39:c4:b6:df:e2,9,10.12,69,-36,-76,8,40,N
c8:3a:35:39:1f:58,9.1,10.12,54,-51,-81,1,30,N
48:5a:b6:d7:d0:3d,9.2,10.12,47,-43,0,0,0,Y
c8:dd:c9:59:ea:91,9.3,10.12,41,-39,0,0,0,Y
2c:5b:b8:8f:42:26,9.3,10.12,40,-45,-86,4,41,Y
2c:5b:b8:8f:42:26,9.3,10.12,40,-41,-89,1,48,Y
44:39:c4:bb:7f:68,10.05,10.13,7,-52,-75,23,23,N
44:39:c4:bb:7f:68,10.05,10.13,7,-50,-74,22,24,N
c8:f2:30:53:d2:97,10.06,10.13,7,-45,-84,1,39,Y
78:45:61:70:11:b8,9,10.13,71,-49,-71,21,22,N
